grp,C,s,isl,osl,kvtot,multi,note
A,3,21,1,128,63,False,KV轴分位
A,3,170,106,128,510,False,KV轴分位
A,3,1365,1301,128,4095,False,KV轴分位
A,3,10922,10858,128,32766,False,KV轴分位
A,3,87381,87317,128,262143,False,KV轴分位
A,48,10,1,128,480,False,KV轴分位
A,48,85,21,128,4080,False,KV轴分位
A,48,682,618,128,32736,False,KV轴分位
A,48,5461,5397,128,262128,False,KV轴分位
A,48,43690,43626,128,2097120,False,KV轴分位
A,105,9,1,128,945,False,KV轴分位
A,105,78,14,128,8190,False,KV轴分位
A,105,624,560,128,65520,False,KV轴分位
A,105,2496,2432,128,262080,False,KV轴分位
A,105,19972,19908,128,2097060,False,KV轴分位
A,192,10,1,128,1920,False,KV轴分位
A,192,85,21,128,16320,False,KV轴分位
A,192,341,277,128,65472,False,KV轴分位
A,192,2730,2666,128,524160,False,KV轴分位
A,192,10922,10858,128,2097024,False,KV轴分位
A,288,7,1,128,2016,False,KV轴分位
A,288,56,1,128,16128,False,KV轴分位
A,288,227,163,128,65376,False,KV轴分位
A,288,1820,1756,128,524160,False,KV轴分位
A,288,7281,7217,128,2096928,False,KV轴分位
A,448,9,1,128,4032,False,KV轴分位
A,448,36,1,128,16128,False,KV轴分位
A,448,292,228,128,130816,False,KV轴分位
A,448,1170,1106,128,524160,False,KV轴分位
A,448,4681,4617,128,2097088,False,KV轴分位
A,512,8,1,128,4096,False,KV轴分位
A,512,32,1,128,16384,False,KV轴分位
A,512,256,192,128,131072,False,KV轴分位
A,512,1024,960,128,524288,False,KV轴分位
A,512,4096,4032,128,2097152,False,KV轴分位
A,513,7,1,128,3591,False,KV轴分位
A,513,31,1,128,15903,False,KV轴分位
A,513,255,191,128,130815,False,KV轴分位
A,513,1022,958,128,524286,False,KV轴分位
A,513,4088,4024,128,2097144,False,KV轴分位
B,768,7,1,128,5376,False,KV轴分位
B,768,31,1,128,23808,False,KV轴分位
B,768,255,191,128,195840,False,KV轴分位
B,768,1022,958,128,784896,False,KV轴分位
B,768,4088,4024,128,3139584,True,KV轴分位
A,1024,8,1,128,8192,False,KV轴分位
A,1024,32,1,128,32768,False,KV轴分位
A,1024,128,64,128,131072,False,KV轴分位
A,1024,512,448,128,524288,False,KV轴分位
A,1024,2048,1984,128,2097152,False,KV轴分位
B-批,6,102,38,128,612,False,离格批次
B-批,6,6553,6489,128,39318,False,离格批次
B-批,12,113,49,128,1356,False,离格批次
B-批,12,7281,7217,128,87372,False,离格批次
B-批,20,120,56,128,2400,False,离格批次
B-批,20,7710,7646,128,154200,False,离格批次
B-批,44,99,35,128,4356,False,离格批次
B-批,44,6393,6329,128,281292,False,离格批次
B-批,100,84,20,128,8400,False,离格批次
B-批,100,2702,2638,128,270200,False,离格批次
B-批,150,53,1,128,7950,False,离格批次
B-批,150,1724,1660,128,258600,False,离格批次
B-批,300,53,1,128,15900,False,离格批次
B-批,300,1724,1660,128,517200,False,离格批次
B-批,600,31,1,128,18600,False,离格批次
B-批,600,1022,958,128,613200,False,离格批次
B-批,900,32,1,128,28800,False,离格批次
B-批,900,512,448,128,460800,False,离格批次
