grp,bp,n,kv,tag,执行
A,1,128,0,ISL在网,单步
A,1,128,256,ISL在网,单步
A,1,128,1024,ISL在网,单步
A,1,128,4096,ISL在网,单步
B,1,128,608,ISL在网,单步
B,1,128,2144,ISL在网,单步
A,1,256,0,ISL在网,单步
A,1,256,256,ISL在网,单步
A,1,256,1024,ISL在网,单步
A,1,256,4096,ISL在网,单步
B,1,256,608,ISL在网,单步
B,1,256,2144,ISL在网,单步
A,1,512,0,ISL在网,单步
A,1,512,256,ISL在网,单步
A,1,512,1024,ISL在网,单步
A,1,512,4096,ISL在网,单步
B,1,512,608,ISL在网,单步
B,1,512,2144,ISL在网,单步
A,1,1024,0,ISL在网,单步
A,1,1024,256,ISL在网,单步
A,1,1024,1024,ISL在网,单步
A,1,1024,4096,ISL在网,单步
B,1,1024,608,ISL在网,单步
B,1,1024,2144,ISL在网,单步
A,1,2048,0,ISL在网,单步
A,1,2048,256,ISL在网,单步
A,1,2048,1024,ISL在网,单步
A,1,2048,4096,ISL在网,单步
A,1,2048,16384,ISL在网,单步
A,1,2048,65536,ISL在网,单步
B,1,2048,608,ISL在网,单步
B,1,2048,2144,ISL在网,单步
B,1,2048,8384,ISL在网,单步
A,1,4096,0,ISL在网,单步
A,1,4096,256,ISL在网,单步
A,1,4096,1024,ISL在网,单步
A,1,4096,4096,ISL在网,单步
A,1,4096,16384,ISL在网,单步
A,1,4096,65536,ISL在网,单步
B,1,4096,608,ISL在网,单步
B,1,4096,2144,ISL在网,单步
B,1,4096,8384,ISL在网,单步
A,1,8192,0,ISL在网,单步
A,1,8192,256,ISL在网,单步
A,1,8192,1024,ISL在网,单步
A,1,8192,4096,ISL在网,单步
A,1,8192,16384,ISL在网,单步
A,1,8192,65536,ISL在网,单步
B,1,8192,608,ISL在网,单步
B,1,8192,2144,ISL在网,单步
B,1,8192,8384,ISL在网,单步
A-长,1,16384,0,ISL在网,chunked~2步
B-长,1,16384,256,ISL在网,chunked~2步
B-长,1,16384,1024,ISL在网,chunked~2步
B-长,1,16384,4096,ISL在网,chunked~2步
B-长,1,16384,16384,ISL在网,chunked~2步
B-长,1,16384,65536,ISL在网,chunked~2步
B-长,1,16384,608,ISL在网,chunked~2步
B-长,1,16384,2144,ISL在网,chunked~2步
B-长,1,16384,8384,ISL在网,chunked~2步
A-长,1,32768,0,ISL在网,chunked~4步
B-长,1,32768,256,ISL在网,chunked~4步
B-长,1,32768,1024,ISL在网,chunked~4步
B-长,1,32768,4096,ISL在网,chunked~4步
B-长,1,32768,16384,ISL在网,chunked~4步
B-长,1,32768,65536,ISL在网,chunked~4步
B-长,1,32768,608,ISL在网,chunked~4步
B-长,1,32768,2144,ISL在网,chunked~4步
B-长,1,32768,8384,ISL在网,chunked~4步
A-长,1,65536,0,ISL在网,chunked~8步
B-长,1,65536,256,ISL在网,chunked~8步
B-长,1,65536,1024,ISL在网,chunked~8步
B-长,1,65536,4096,ISL在网,chunked~8步
B-长,1,65536,16384,ISL在网,chunked~8步
B-长,1,65536,65536,ISL在网,chunked~8步
B-长,1,65536,608,ISL在网,chunked~8步
B-长,1,65536,2144,ISL在网,chunked~8步
B-长,1,65536,8384,ISL在网,chunked~8步
A-长,1,131072,0,ISL在网,chunked~16步
B-长,1,131072,256,ISL在网,chunked~16步
B-长,1,131072,1024,ISL在网,chunked~16步
B-长,1,131072,4096,ISL在网,chunked~16步
B-长,1,131072,16384,ISL在网,chunked~16步
B-长,1,131072,65536,ISL在网,chunked~16步
B-长,1,131072,608,ISL在网,chunked~16步
B-长,1,131072,2144,ISL在网,chunked~16步
B-长,1,131072,8384,ISL在网,chunked~16步
B,1,181,0,ISL离网,单步
B,1,181,256,ISL离网,单步
B,1,181,4096,ISL离网,单步
B,1,181,2144,ISL离网,单步
B,1,362,0,ISL离网,单步
B,1,362,256,ISL离网,单步
B,1,362,4096,ISL离网,单步
B,1,362,2144,ISL离网,单步
B,1,724,0,ISL离网,单步
B,1,724,256,ISL离网,单步
B,1,724,4096,ISL离网,单步
B,1,724,2144,ISL离网,单步
B,1,1448,0,ISL离网,单步
B,1,1448,256,ISL离网,单步
B,1,1448,4096,ISL离网,单步
B,1,1448,2144,ISL离网,单步
B,1,2896,0,ISL离网,单步
B,1,2896,256,ISL离网,单步
B,1,2896,4096,ISL离网,单步
B,1,2896,2144,ISL离网,单步
B,1,5792,0,ISL离网,单步
B,1,5792,256,ISL离网,单步
B,1,5792,4096,ISL离网,单步
B,1,5792,2144,ISL离网,单步
B-长,1,11585,0,ISL离网,chunked~2步
B-长,1,11585,256,ISL离网,chunked~2步
B-长,1,11585,4096,ISL离网,chunked~2步
B-长,1,11585,2144,ISL离网,chunked~2步
B-长,1,23170,0,ISL离网,chunked~3步
B-长,1,23170,256,ISL离网,chunked~3步
B-长,1,23170,4096,ISL离网,chunked~3步
B-长,1,23170,2144,ISL离网,chunked~3步
B-长,1,46340,0,ISL离网,chunked~6步
B-长,1,46340,256,ISL离网,chunked~6步
B-长,1,46340,4096,ISL离网,chunked~6步
B-长,1,46340,2144,ISL离网,chunked~6步
B-长,1,92681,0,ISL离网,chunked~12步
B-长,1,92681,256,ISL离网,chunked~12步
B-长,1,92681,4096,ISL离网,chunked~12步
B-长,1,92681,2144,ISL离网,chunked~12步
B-长,1,163840,0,ISL离网,chunked~20步
B-长,1,163840,256,ISL离网,chunked~20步
B-长,1,163840,4096,ISL离网,chunked~20步
B-长,1,163840,2144,ISL离网,chunked~20步
A,2,1024,0,bs变体,单步
A,2,1024,1024,bs变体,单步
B,2,1024,608,bs变体,单步
A,2,4096,0,bs变体,单步
A,2,4096,1024,bs变体,单步
B,2,4096,608,bs变体,单步
A,4,512,0,bs变体,单步
A,4,512,1024,bs变体,单步
B,4,512,608,bs变体,单步
A,4,2048,0,bs变体,单步
A,4,2048,1024,bs变体,单步
B,4,2048,608,bs变体,单步
