model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,encoder_latency,encoder_memory,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,cp,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
MiniMaxAI/MiniMax-M2.7,8192,1024,0,240,2.628,240,240,552.525,88.726,91319.303,0,0.0,2.628,0.657,2688.588,672.147,11.271,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,123.564,0.234,1.0,239.0,8431.0,8192,239.0,vllm,0.25.1,h200_sxm,0.0,672.147
MiniMaxAI/MiniMax-M2.7,8192,1024,0,192,2.437,192,192,536.29,76.493,78788.587,0,0.0,2.437,0.609,2492.95,623.237,13.073,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,110.48,0.188,1.0,191.0,8383.0,8192,191.0,vllm,0.25.1,h200_sxm,0.0,623.237
MiniMaxAI/MiniMax-M2.7,8192,1024,0,176,2.329,176,176,530.747,73.348,75565.795,0,0.0,2.329,0.582,2382.665,595.666,13.634,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,106.119,0.172,1.0,175.0,8367.0,8192,175.0,vllm,0.25.1,h200_sxm,0.0,595.666
MiniMaxAI/MiniMax-M2.7,8192,1024,0,160,2.225,160,160,526.629,69.775,71906.395,0,0.0,2.225,0.556,2276.293,569.073,14.332,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,101.758,0.156,1.0,159.0,8351.0,8192,159.0,vllm,0.25.1,h200_sxm,0.0,569.073
MiniMaxAI/MiniMax-M2.7,8192,1024,0,128,2.189,128,128,503.079,56.679,58486.135,0,0.0,2.189,0.547,2238.89,559.722,17.643,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,93.035,0.125,1.0,127.0,8319.0,8192,127.0,vllm,0.25.1,h200_sxm,0.0,559.722
MiniMaxAI/MiniMax-M2.7,8192,1024,0,112,2.033,112,112,496.777,53.362,55086.165,0,0.0,2.033,0.508,2079.941,519.985,18.74,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,88.674,0.109,1.0,111.0,8303.0,8192,111.0,vllm,0.25.1,h200_sxm,0.0,519.985
MiniMaxAI/MiniMax-M2.7,8192,1024,0,96,1.864,96,96,489.862,49.856,51492.048,0,0.0,1.864,0.466,1907.246,476.811,20.058,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,84.313,0.094,1.0,95.0,8287.0,8192,95.0,vllm,0.25.1,h200_sxm,0.0,476.811
MiniMaxAI/MiniMax-M2.7,8192,1024,0,64,1.813,64,64,445.523,34.075,35304.291,0,0.0,1.813,0.453,1854.505,463.626,29.347,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,75.59,0.062,1.0,63.0,8255.0,8192,63.0,vllm,0.25.1,h200_sxm,0.0,463.626
MiniMaxAI/MiniMax-M2.7,8192,1024,0,56,1.65,56,56,441.303,32.748,33942.378,0,0.0,1.65,0.412,1687.802,421.95,30.536,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,73.41,0.055,1.0,55.0,8247.0,8192,55.0,vllm,0.25.1,h200_sxm,0.0,421.95
MiniMaxAI/MiniMax-M2.7,8192,1024,0,48,1.525,48,48,426.274,30.346,31469.93,0,0.0,1.525,0.381,1560.347,390.087,32.954,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,71.229,0.047,1.0,47.0,8239.0,8192,47.0,vllm,0.25.1,h200_sxm,0.0,390.087
MiniMaxAI/MiniMax-M2.7,8192,1024,0,40,1.353,40,40,418.538,28.48,29553.871,0,0.0,1.353,0.338,1384.59,346.148,35.112,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,69.048,0.039,1.0,39.0,8231.0,8192,39.0,vllm,0.25.1,h200_sxm,0.0,346.148
MiniMaxAI/MiniMax-M2.7,8192,1024,0,32,1.329,32,32,404.515,23.141,24077.384,0,0.0,1.329,0.332,1359.616,339.904,43.214,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,66.868,0.031,1.0,31.0,8223.0,8192,31.0,vllm,0.25.1,h200_sxm,0.0,339.904
MiniMaxAI/MiniMax-M2.7,8192,1024,0,28,1.176,28,28,398.521,22.879,23803.568,0,0.0,1.176,0.294,1203.349,300.837,43.709,4,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_block,fp8,bfloat16,fp8_block,half,65.778,0.027,1.0,27.0,8219.0,8192,27.0,vllm,0.25.1,h200_sxm,0.0,300.837
