tp,config,group,kind,b,tokens,kv,probe_med_ms,n_reps,spread,reference_ms,delta
4,decode,B,decode,6,0,4092,9.654555469751358,3,0.008121738291612406,9.568314098777108,0.009013225327257178
4,decode,B,decode,8,0,192,9.640172123908997,3,0.02229704872623624,9.264425374567509,0.040558019968834694
4,decode,A,decode,8,0,256,9.375108405947685,3,0.01211947096323767,9.312223643064499,0.0067529266149037636
4,decode,B,decode,8,0,1536,9.479306638240814,3,0.02204939750418733,9.762311354279518,-0.02898951956850288
4,decode,A,decode,8,0,8192,9.550327435135841,3,0.014895969471610067,9.690256789326668,-0.014440211155699361
4,decode,B,decode,8,0,12288,9.710380807518959,3,0.003515868596401342,9.689874947071075,0.0021162151792352944
4,decode,B,decode,8,0,98304,10.72971522808075,3,0.00789969988570381,10.763144120573997,-0.0031058668469697336
4,decode,A,decode,8,0,131072,11.328233405947685,3,0.03156549566994898,10.989772155880928,0.03079784050715167
4,decode,B,decode,8,0,786432,17.885714769363403,3,0.012879595764356946,17.893780954182148,-0.000450781466443481
4,decode,B,decode,8,0,1343480,23.81679229438305,3,0.008703447053671974,23.449348285794258,0.015669689584140403
4,decode,B,decode,12,0,8184,11.949073523283005,3,0.02972170391466397,11.097355813162206,0.07674960814634818
4,decode,B,decode,12,0,733992,19.906334578990936,3,0.007736032454731541,19.795502062362427,0.005598873738051693
4,decode,B,decode,20,0,16380,13.841664418578148,3,0.026086680364792326,12.58363195975609,0.0999737168764464
4,decode,B,decode,28,0,16380,15.12049324810505,3,0.012299462671505279,14.155179815848033,0.06819506673989817
4,decode,B,decode,36,0,16380,15.837492421269417,3,0.015435469884879947,15.58916530765899,0.01592946823704691
4,decode,B,decode,36,0,838836,31.186658889055252,3,0.017120193797963472,25.792954605586985,0.20911541023299218
4,decode,B,decode,40,0,360,13.700507581233978,3,0.013333190127965779,14.993790071457624,-0.08625454165091691
4,decode,A,decode,40,0,1024,14.87312838435173,3,0.016748508130921297,15.116693452000618,-0.016112324326895248
4,decode,B,decode,40,0,3040,14.822164550423622,3,0.01627427604014231,14.997477934230119,-0.011689524370385174
4,decode,A,decode,40,0,16384,15.516608953475952,3,0.00891648148183716,16.121380031108856,-0.03751360469549745
4,decode,B,decode,40,0,24560,15.15117660164833,3,0.010670591153970888,16.096209074021317,-0.05871149337257514
4,decode,B,decode,40,0,196600,18.290262669324875,3,0.0036029292704014763,18.9507270293916,-0.03485166342390874
4,decode,A,decode,40,0,262144,19.9517160654068,3,0.010062553353891932,20.07080800831318,-0.005933589861307662
4,decode,B,decode,40,0,1572840,40.561964735388756,3,0.0029092777323338663,41.95033709655149,-0.033095618706646054
4,decode,B,decode,40,0,2236400,51.88383907079697,3,0.005652501511043433,52.60025318306558,-0.013619974599271747
4,decode,B,decode,44,0,16368,17.593031749129295,3,0.025108767036586994,16.369542108887348,0.07474183652196909
