side,bp,tot,kv,truth,model,ape,stratum
new,1,256,0,42.418813332915306,44.592875987291336,0.05125232140072726,A
old,1,256,0,42.418813332915306,43.652502819895744,0.029083545484831948,A
new,1,256,256,42.16681607067585,44.63927820324898,0.05863525783945914,A
old,1,256,256,42.16681607067585,43.788583017885685,0.03846073994516422,A
new,1,1024,0,82.11771585047245,87.7456646412611,0.06853513559773802,A
old,1,1024,0,82.11771585047245,94.44000944495201,0.1500564581815346,A
new,1,1024,256,83.92315730452538,89.58778530359268,0.06749779418465532,A
old,1,1024,256,83.92315730452538,94.09374464303255,0.12118928392555542,A
new,1,1024,1024,84.82344448566437,90.12392908334732,0.06248843854223303,A
old,1,1024,1024,84.82344448566437,96.45634423941374,0.1371425061112131,A
new,1,1024,4096,93.42797193676233,99.67771545052528,0.06689370842806214,A
old,1,1024,4096,93.42797193676233,103.42843737453222,0.10703930771973522,A
new,1,1024,608,84.07591562718153,86.5017877761384,0.02885335391069582,B
old,1,1024,608,84.07591562718153,94.94754460741821,0.12930729209592942,B
new,1,1024,2144,88.02506607025862,93.20781147681414,0.05887806323733781,B
old,1,1024,2144,88.02506607025862,99.37861386584325,0.1289808494607958,B
new,1,2048,0,140.141312032938,145.47114819288254,0.038031869993423784,A
old,1,2048,0,140.141312032938,148.12274277210236,0.0569527330904997,A
new,1,2048,256,142.39954110234976,148.88083934783936,0.04551488154607999,A
old,1,2048,256,142.39954110234976,150.5055222660303,0.056924208469565044,A
new,1,2048,1024,145.8221673965454,151.4263842254877,0.038431857988383354,A
old,1,2048,1024,145.8221673965454,158.52404851466417,0.08710528272136817,A
new,1,2048,4096,165.22924229502678,178.24777960777283,0.07879075841490978,A
old,1,2048,4096,165.22924229502678,178.0951600521803,0.07786707472870111,A
new,1,2048,16384,227.15630754828453,236.3804690539837,0.040607111487487364,A
old,1,2048,16384,227.15630754828453,250.2699065953493,0.10175195792065662,A
new,1,2048,65536,489.4067971035838,491.8214902281761,0.0049339182432344315,A
old,1,2048,65536,489.4067971035838,528.6102360114455,0.08010399352823912,A
new,1,4096,256,266.10241550952196,275.3421328961849,0.03472241080176266,A
old,1,4096,256,266.10241550952196,279.6499542891979,0.050910995128457176,A
new,1,4096,4096,306.78341165184975,309.26175974309444,0.008078494459332852,A
old,1,4096,4096,306.78341165184975,332.7599726617336,0.08467394266859231,A
new,1,4096,608,270.44738456606865,274.5895478426722,0.015315967219463425,B
old,1,4096,608,270.44738456606865,291.1730738722976,0.07663482987451778,B
new,1,4096,8384,349.4428964331746,369.2451649090909,0.05666810994884005,B
old,1,4096,8384,349.4428964331746,392.7817160448867,0.124022608712551,B
new,1,8192,0,543.2332754135132,546.4967153966427,0.006007437561046581,A
old,1,8192,0,543.2332754135132,566.7371097952127,0.04326655866912473,A
