side,b,kv,truth,model,ape,stratum
new,4,65049,9.549317881464958,8.89421935920609,0.0686016038412965,B
old,4,65049,9.549317881464958,9.493070483472366,0.005890200608125918,B
new,4,65053,9.544280357658863,8.894268948267836,0.0681048109477863,B
old,4,65053,9.544280357658863,9.49312088721399,0.005360222932242278,B
new,4,65057,9.539242833852768,8.894318537329582,0.06760749335728045,B
old,4,65057,9.539242833852768,9.493171290955615,0.004829685510641822,B
new,4,65061,9.53787099570036,8.894368126391328,0.06746818756503634,B
old,4,65061,9.53787099570036,9.49322169469724,0.004681264930428058,B
new,4,65065,9.53649915754795,8.894417715453073,0.06732884169414334,B
old,4,65065,9.53649915754795,9.493272098438865,0.004532801649216544,B
new,4,65069,9.53787099570036,8.89446730451482,0.06745778921476127,B
old,4,65069,9.53787099570036,9.49332250218049,0.004670695749601933,B
new,4,65073,9.539242833852768,8.894516893576565,0.06758669964750305,B
old,4,65073,9.539242833852768,9.493372905922115,0.004808550188896564,B
new,4,65077,9.54338163137436,8.89456648263831,0.06798587479757019,B
old,4,65077,9.54338163137436,9.49342330966374,0.005234865757267701,B
new,4,65081,9.539242833852768,8.894616071700057,0.06757630279261435,B
old,4,65081,9.539242833852768,9.493473713405365,0.0047979825280239355,B
new,4,65085,9.53787099570036,8.894665660761802,0.06743699251421116,B
old,4,65085,9.53787099570036,9.49352411714699,0.004649557387949683,B
new,4,65089,9.539242833852768,8.894715249823548,0.06756590593772567,B
old,4,65089,9.539242833852768,9.493574520888615,0.004787414867151307,B
new,4,65093,9.54338163137436,8.894764838885294,0.06796509010566065,B
old,4,65093,9.54338163137436,9.49362492463024,0.005213739601541433,B
new,4,65097,9.539242833852768,8.89481442794704,0.06755550908283697,B
old,4,65097,9.539242833852768,9.493675328371864,0.004776847206278678,B
new,4,65101,9.54338163137436,8.894864017008786,0.06795469775970589,B
old,4,65101,9.54338163137436,9.49372573211349,0.005203176523678299,B
new,4,65105,9.539242833852768,8.894913606070531,0.06754511222794828,B
old,4,65105,9.539242833852768,9.493776135855114,0.004766279545406049,B
new,4,65109,9.54338163137436,8.894963195132277,0.06794430541375113,B
old,4,65109,9.54338163137436,9.49382653959674,0.005192613445815166,B
new,4,65113,9.54752042889595,8.895012784194023,0.06834315250345911,B
old,4,65113,9.54752042889595,9.493876943338364,0.0056185777194288165,B
new,4,65117,9.548419155180454,8.895062373255769,0.0684256494511146,B
old,4,65117,9.548419155180454,9.493927347079989,0.00570689317413354,B
new,4,65121,9.54752042889595,8.895111962317515,0.06833276466252909,B
old,4,65121,9.54752042889595,9.493977750821614,0.005608019220601759,B
new,4,65125,9.548419155180454,8.89516155137926,0.06841526258791977,B
old,4,65125,9.548419155180454,9.494028154563239,0.005696335669104541,B
new,4,65129,9.549317881464958,8.895211140441006,0.06849774498486019,B
old,4,65129,9.549317881464958,9.494078558304864,0.005784635493945904,B
new,4,65133,9.549317881464958,8.895260729502752,0.06849255204203837,B
old,4,65133,9.549317881464958,9.494128962046489,0.005779357238236903,B
new,4,65137,9.549317881464958,8.895310318564498,0.06848735909921655,B
old,4,65137,9.549317881464958,9.494179365788114,0.005774078982527902,B
new,4,65141,9.549317881464958,8.895359907626244,0.06848216615639474,B
old,4,65141,9.549317881464958,9.494229769529738,0.005768800726818902,B
new,4,65145,9.549317881464958,8.89540949668799,0.06847697321357292,B
old,4,65145,9.549317881464958,9.494280173271363,0.005763522471109901,B
new,4,65149,9.549405425786972,8.895459085749735,0.06848032007012048,B
old,4,65149,9.549405425786972,9.494330577012988,0.005767358942082521,B
new,4,65153,9.549317881464958,8.89550867481148,0.06846658732792929,B
old,4,65153,9.549317881464958,9.494380980754613,0.005752965959691899,B
new,4,65157,9.549405425786972,8.895558263873227,0.06846993427968961,B
old,4,65157,9.549405425786972,9.494431384496238,0.005756802527441501,B
new,4,65161,9.550835937261581,8.895607852934972,0.06860426549369417,B
old,4,65161,9.550835937261581,9.494481788237863,0.00590044153139085,B
new,4,65165,9.550835937261581,8.895657441996718,0.06859907337626367,B
old,4,65165,9.550835937261581,9.494532191979488,0.005895164114633197,B
new,4,65169,9.550835937261581,8.895707031058464,0.06859388125883316,B
old,4,65169,9.550835937261581,9.494582595721113,0.005889886697875543,B
new,4,65173,9.55086573958397,8.89575662012021,0.0685915954978439,B
old,4,65173,9.55086573958397,9.494632999462738,0.005887711298063011,B
new,4,65177,9.554518386721611,8.895806209181956,0.06894247840425954,B
old,4,65177,9.554518386721611,9.494683403204363,0.006262480336047511,B
new,4,65181,9.554518386721611,8.895855798243701,0.06893728828794612,B
old,4,65181,9.554518386721611,9.494733806945987,0.00625720495328254,B
new,4,65185,9.554518386721611,8.895905387305447,0.0689320981716327,B
old,4,65185,9.554518386721611,9.494784210687612,0.00625192957051757,B
new,4,65189,9.55086573958397,8.895954976367193,0.06857082709292736,B
old,4,65189,9.55086573958397,9.494834614429237,0.005866601696902562,B
new,4,65193,9.55086573958397,8.896004565428939,0.06856563499169822,B
old,4,65193,9.55086573958397,9.494885018170862,0.005861324296612449,B
new,4,65197,9.562583640217781,8.896054154490685,0.06970182021978286,B
old,4,65197,9.562583640217781,9.494935421912487,0.007074261606537263,B
new,4,65201,9.562583640217781,8.89610374355243,0.06969663448090604,B
old,4,65201,9.562583640217781,9.494985825654112,0.007068990673124152,B
new,4,65205,9.562583640217781,8.896153332614176,0.06969144874202925,B
old,4,65205,9.562583640217781,9.495036229395737,0.007063719739711039,B
new,4,65209,9.55086573958397,8.896202921675922,0.06854486658678169,B
old,4,65209,9.55086573958397,9.495086633137362,0.005840214695452,B
new,4,65213,9.562583640217781,8.896252510737668,0.06968107726427562,B
old,4,65213,9.562583640217781,9.495137036878987,0.007053177872884815,B
new,4,65217,9.562583640217781,8.896302099799414,0.06967589152539883,B
old,4,65217,9.562583640217781,9.495187440620612,0.007047906939471702,B
new,4,65221,9.578114375472069,8.89635168886116,0.07117921752498471,B
old,4,65221,9.578114375472069,9.495237844362237,0.008652698000982851,B
new,4,65225,9.578114375472069,8.896401277922905,0.07117404019468755,B
old,4,65225,9.578114375472069,9.495288248103861,0.00864743561429075,B
new,4,65229,9.585432708263397,8.896450866984651,0.07187801137916182,B
old,4,65229,9.585432708263397,9.495338651845486,0.009399059923527787,B
new,4,65233,9.585432708263397,8.896500456046397,0.07187283800167797,B
old,4,65233,9.585432708263397,9.495389055587111,0.009393801554588275,B
new,4,65237,9.585432708263397,8.896550045108143,0.07186766462419414,B
old,4,65237,9.585432708263397,9.495439459328736,0.009388543185648765,B
new,4,65241,9.585432708263397,8.896599634169888,0.07186249124671029,B
old,4,65241,9.585432708263397,9.495489863070361,0.009383284816709253,B
new,4,65245,9.585432708263397,8.896649223231634,0.07185731786922646,B
old,4,65245,9.585432708263397,9.495540266811986,0.009378026447769743,B
new,4,65249,9.598545730113983,8.89669881229338,0.0731201306484028,B
old,4,65249,9.598545730113983,9.49559067055361,0.01072611023119538,B
new,4,65253,9.585432708263397,8.896748401355126,0.07184697111425878,B
old,4,65253,9.585432708263397,9.495641074295236,0.00936750970989072,B
