side,b,kv,truth,model,ape,stratum
new,4,21,7.464906200766563,7.077519549056888,0.05189437633789631,B
old,4,21,7.464906200766563,7.077519549056888,0.05189437633789631,B
new,4,25,7.465635426342487,7.074031746014953,0.052454166050723755,B
old,4,25,7.465635426342487,7.074031746014953,0.052454166050723755,B
new,4,29,7.464906200766563,7.070543942973018,0.05282882961785228,B
old,4,29,7.464906200766563,7.070543942973018,0.05282882961785228,B
new,4,33,7.4615683406591415,7.067027036100626,0.052876457943647606,B
old,4,33,7.4615683406591415,7.067027036100626,0.052876457943647606,B
new,4,37,7.45823048055172,7.063422817736864,0.052935835630766113,B
old,4,37,7.45823048055172,7.063422817736864,0.052935835630766113,B
new,4,41,7.4615683406591415,7.059818599373102,0.053842533224127714,B
old,4,41,7.4615683406591415,7.059818599373102,0.053842533224127714,B
new,4,45,7.45823048055172,7.05621438100934,0.053902343269048504,B
old,4,45,7.45823048055172,7.05621438100934,0.053902343269048504,B
new,4,49,7.457789033651352,7.052610162645578,0.05432962358917747,B
old,4,49,7.457789033651352,7.052610162645578,0.05432962358917747,B
new,4,53,7.45823048055172,7.0490059442818165,0.054868850907330895,B
old,4,53,7.45823048055172,7.0490059442818165,0.054868850907330895,B
new,4,57,7.457789033651352,7.045401725918055,0.055296188437686536,B
old,4,57,7.457789033651352,7.045401725918055,0.055296188437686536,B
new,4,61,7.457347586750984,7.041797507554293,0.05572357656158794,B
old,4,61,7.457347586750984,7.041797507554293,0.05572357656158794,B
new,4,65,7.457789033651352,7.040302734822035,0.05597990194486834,B
old,4,65,7.457789033651352,7.040302734822035,0.05597990194486834,B
new,4,69,7.45823048055172,7.045136298984289,0.055387693186021256,B
old,4,69,7.45823048055172,7.045136298984289,0.055387693186021256,B
new,4,73,7.458453997969627,7.0499698631465435,0.05476793648312146,B
old,4,73,7.458453997969627,7.0499698631465435,0.05476793648312146,B
new,4,77,7.458677515387535,7.054803427308798,0.054148216925256475,B
old,4,77,7.458677515387535,7.054803427308798,0.054148216925256475,B
new,4,81,7.460601627826691,7.059636991471052,0.053744276448177204,B
old,4,81,7.460601627826691,7.059636991471052,0.053744276448177204,B
new,4,85,7.458677515387535,7.0644705556333065,0.052852125452664316,B
old,4,85,7.458677515387535,7.0644705556333065,0.052852125452664316,B
new,4,89,7.458453997969627,7.069304119795561,0.052175675854540714,B
old,4,89,7.458453997969627,7.069304119795561,0.052175675854540714,B
new,4,93,7.458677515387535,7.074137683957815,0.051556033980072156,B
old,4,93,7.458677515387535,7.074137683957815,0.051556033980072156,B
new,4,97,7.460601627826691,7.0789712481200695,0.05115276203506284,B
old,4,97,7.460601627826691,7.0789712481200695,0.05115276203506284,B
new,4,101,7.458677515387535,7.083804812282324,0.05025994250748,B
old,4,101,7.458677515387535,7.083804812282324,0.05025994250748,B
new,4,105,7.462525740265846,7.088638376444578,0.05010198649015965,B
old,4,105,7.462525740265846,7.088638376444578,0.05010198649015965,B
new,4,109,7.462622597813606,7.0934719406068325,0.049466612088212424,B
old,4,109,7.462622597813606,7.0934719406068325,0.049466612088212424,B
new,4,113,7.464906200766563,7.098305504769087,0.049109886465797885,B
old,4,113,7.464906200766563,7.098305504769087,0.049109886465797885,B
new,4,117,7.466364651918411,7.103139068931341,0.04864825117987543,B
old,4,117,7.466364651918411,7.103139068931341,0.04864825117987543,B
new,4,121,7.467024028301239,7.1079726330935955,0.04808493903953973,B
old,4,121,7.467024028301239,7.1079726330935955,0.04808493903953973,B
new,4,125,7.467024028301239,7.11280619725585,0.04743761767778513,B
old,4,125,7.467024028301239,7.11280619725585,0.04743761767778513,B
new,4,129,7.469777017831802,7.116195687558502,0.04733492437983535,B
old,4,129,7.469777017831802,7.116195687558502,0.04733492437983535,B
new,4,133,7.474198937416077,7.115252956282347,0.048024675840086926,B
old,4,133,7.474198937416077,7.115252956282347,0.048024675840086926,B
new,4,137,7.474198937416077,7.114310225006193,0.048150807253506386,B
old,4,137,7.474198937416077,7.114310225006193,0.048150807253506386,B
new,4,141,7.474198937416077,7.113367493730038,0.048276938666925846,B
old,4,141,7.474198937416077,7.113367493730038,0.048276938666925846,B
new,4,145,7.476774975657463,7.112424762453884,0.04873093203818674,B
old,4,145,7.476774975657463,7.112424762453884,0.04873093203818674,B
new,4,149,7.476774975657463,7.111482031177729,0.0488570199944545,B
old,4,149,7.476774975657463,7.111482031177729,0.0488570199944545,B
new,4,153,7.476774975657463,7.110539299901575,0.04898310795072225,B
old,4,153,7.476774975657463,7.110539299901575,0.04898310795072225,B
new,4,157,7.476774975657463,7.10959656862542,0.04910919590699,B
old,4,157,7.476774975657463,7.10959656862542,0.04910919590699,B
new,4,161,7.476774975657463,7.108653837349266,0.049235283863257755,B
old,4,161,7.476774975657463,7.108653837349266,0.049235283863257755,B
new,4,165,7.474198937416077,7.107711106073111,0.049033727147442606,B
old,4,165,7.474198937416077,7.107711106073111,0.049033727147442606,B
new,4,169,7.474198937416077,7.106768374796957,0.049159858560862066,B
old,4,169,7.474198937416077,7.106768374796957,0.049159858560862066,B
new,4,173,7.474198937416077,7.105825643520802,0.049285989974281526,B
old,4,173,7.474198937416077,7.105825643520802,0.049285989974281526,B
new,4,177,7.469777017831802,7.104882912244648,0.048849397340252836,B
old,4,177,7.469777017831802,7.104882912244648,0.048849397340252836,B
new,4,181,7.469777017831802,7.103940180968493,0.04897560342028763,B
old,4,181,7.469777017831802,7.103940180968493,0.04897560342028763,B
new,4,185,7.469777017831802,7.102997449692339,0.04910180950032242,B
old,4,185,7.469777017831802,7.102997449692339,0.04910180950032242,B
new,4,189,7.469777017831802,7.102054718416184,0.04922801558035721,B
old,4,189,7.469777017831802,7.102054718416184,0.04922801558035721,B
new,4,193,7.469777017831802,7.10111198714003,0.049354221660392,B
old,4,193,7.469777017831802,7.10111198714003,0.049354221660392,B
new,4,197,7.474198937416077,7.100169255863875,0.05004277845479829,B
old,4,197,7.474198937416077,7.100169255863875,0.05004277845479829,B
new,4,201,7.474198937416077,7.099226524587721,0.05016890986821775,B
old,4,201,7.474198937416077,7.099226524587721,0.05016890986821775,B
new,4,205,7.474198937416077,7.098283793311566,0.05029504128163721,B
old,4,205,7.474198937416077,7.098283793311566,0.05029504128163721,B
new,4,209,7.474198937416077,7.097341062035412,0.05042117269505667,B
old,4,209,7.474198937416077,7.097341062035412,0.05042117269505667,B
new,4,213,7.478268817067146,7.096398330759257,0.05106402238929578,B
old,4,213,7.478268817067146,7.096398330759257,0.05106402238929578,B
new,4,217,7.482582703232765,7.095455599483103,0.05173709654854984,B
old,4,217,7.482582703232765,7.095455599483103,0.05173709654854984,B
new,4,221,7.485782727599144,7.094512868206948,0.052268396456342896,B
old,4,221,7.485782727599144,7.094512868206948,0.052268396456342896,B
new,4,225,7.49046728014946,7.0935701369307935,0.05298696708421466,B
old,4,225,7.49046728014946,7.0935701369307935,0.05298696708421466,B
new,4,229,7.49046728014946,7.092627405654639,0.053112824556238176,B
old,4,229,7.49046728014946,7.092627405654639,0.053112824556238176,B
new,4,233,7.497088983654976,7.0916846743784845,0.05407489629112672,B
old,4,233,7.497088983654976,7.0916846743784845,0.05407489629112672,B
new,4,237,7.49046728014946,7.09074194310233,0.053364539500285225,B
old,4,237,7.49046728014946,7.09074194310233,0.053364539500285225,B
new,4,241,7.487911731004715,7.0897992118261755,0.053167362741483794,B
old,4,241,7.487911731004715,7.0897992118261755,0.053167362741483794,B
new,4,245,7.49046728014946,7.088856480550021,0.05361625444433227,B
old,4,245,7.49046728014946,7.088856480550021,0.05361625444433227,B
new,4,249,7.49046728014946,7.087913749273866,0.05374211191635579,B
old,4,249,7.49046728014946,7.087913749273866,0.05374211191635579,B
new,4,253,7.497088983654976,7.086971017997712,0.054703627841605734,B
old,4,253,7.497088983654976,7.086971017997712,0.054703627841605734,B
new,4,257,7.497088983654976,7.087086290994193,0.05468825214088605,B
old,4,257,7.497088983654976,7.087086290994193,0.05468825214088605,B
new,4,261,7.49046728014946,7.090375576808583,0.053413450506774485,B
old,4,261,7.49046728014946,7.090375576808583,0.053413450506774485,B
new,4,265,7.49046728014946,7.093664862622973,0.05297432091827651,B
old,4,265,7.49046728014946,7.093664862622973,0.05297432091827651,B
new,4,269,7.497088983654976,7.096954148437362,0.053372026941387624,B
old,4,269,7.497088983654976,7.096954148437362,0.053372026941387624,B
new,4,273,7.49046728014946,7.100243434251752,0.05209606174128056,B
old,4,273,7.49046728014946,7.100243434251752,0.05209606174128056,B
new,4,277,7.49046728014946,7.103532720066141,0.05165693215278258,B
old,4,277,7.49046728014946,7.103532720066141,0.05165693215278258,B
new,4,281,7.487911731004715,7.106822005880531,0.05089399271978999,B
old,4,281,7.487911731004715,7.106822005880531,0.05089399271978999,B
new,4,285,7.497088983654976,7.1101112916949205,0.05161706000872305,B
old,4,285,7.497088983654976,7.1101112916949205,0.05161706000872305,B
new,4,289,7.487911731004715,7.11340057750931,0.05001543380174884,B
old,4,289,7.487911731004715,7.11340057750931,0.05001543380174884,B
new,4,293,7.487911731004715,7.1166898633237,0.04957615434272826,B
old,4,293,7.487911731004715,7.1166898633237,0.04957615434272826,B
new,4,297,7.487911731004715,7.119979149138089,0.04913687488370768,B
old,4,297,7.487911731004715,7.119979149138089,0.04913687488370768,B
new,4,301,7.487911731004715,7.123268434952479,0.04869759542468711,B
old,4,301,7.487911731004715,7.123268434952479,0.04869759542468711,B
new,4,305,7.492547854781151,7.126557720766868,0.048847220078913005,B
old,4,305,7.492547854781151,7.126557720766868,0.048847220078913005,B
new,4,309,7.492547854781151,7.129847006581258,0.04840821243049463,B
old,4,309,7.492547854781151,7.129847006581258,0.04840821243049463,B
new,4,313,7.497088983654976,7.133136292395648,0.048545867876560046,B
old,4,313,7.497088983654976,7.133136292395648,0.048545867876560046,B
new,4,317,7.500119507312775,7.136425578210037,0.04849175119784801,B
old,4,317,7.500119507312775,7.136425578210037,0.04849175119784801,B
new,4,321,7.500119507312775,7.139714864024427,0.04805318674415064,B
old,4,321,7.500119507312775,7.139714864024427,0.04805318674415064,B
new,4,325,7.510548457503319,7.143004149838816,0.04893707959467486,B
old,4,325,7.510548457503319,7.143004149838816,0.04893707959467486,B
new,4,329,7.512740790843964,7.146293435653206,0.0487767867137596,B
old,4,329,7.512740790843964,7.146293435653206,0.0487767867137596,B
new,4,333,7.518880069255829,7.1495827214675955,0.0491160045627359,B
old,4,333,7.518880069255829,7.1495827214675955,0.0491160045627359,B
new,4,337,7.518880069255829,7.152872007281985,0.04867853438312242,B
old,4,337,7.518880069255829,7.152872007281985,0.04867853438312242,B
new,4,341,7.519548758864403,7.156161293096375,0.0483257011053555,B
old,4,341,7.519548758864403,7.156161293096375,0.0483257011053555,B
new,4,345,7.528206333518028,7.159450578910764,0.04898321569182332,B
old,4,345,7.528206333518028,7.159450578910764,0.04898321569182332,B
new,4,349,7.533656433224678,7.162739864725154,0.04923460099185309,B
old,4,349,7.533656433224678,7.162739864725154,0.04923460099185309,B
new,4,353,7.533656433224678,7.1660291505395435,0.04879798885755356,B
old,4,353,7.533656433224678,7.1660291505395435,0.04879798885755356,B
new,4,357,7.5344517827034,7.169318436353933,0.04846183330653088,B
old,4,357,7.5344517827034,7.169318436353933,0.04846183330653088,B
new,4,361,7.5344517827034,7.172607722168323,0.048025267261747016,B
old,4,361,7.5344517827034,7.172607722168323,0.048025267261747016,B
new,4,365,7.535288110375404,7.175897007982712,0.047694407583147795,B
old,4,365,7.535288110375404,7.175897007982712,0.047694407583147795,B
new,4,369,7.554817944765091,7.179186293797102,0.049720807796337835,B
old,4,369,7.554817944765091,7.179186293797102,0.049720807796337835,B
new,4,373,7.557865232229233,7.182475579611491,0.04966874124944117,B
old,4,373,7.557865232229233,7.182475579611491,0.04966874124944117,B
new,4,377,7.577873766422272,7.185764865425881,0.0517439209312029,B
old,4,377,7.577873766422272,7.185764865425881,0.0517439209312029,B
new,4,381,7.578101009130478,7.189054151240271,0.05133830459919498,B
old,4,381,7.578101009130478,7.189054151240271,0.05133830459919498,B
new,4,385,7.611067965626717,7.19234343705466,0.05501521343169053,B
