side,b,kv,truth,model,ape,stratum
new,4,21,7.464906200766563,6.767448052414693,0.09343160243329637,B
old,4,21,7.464906200766563,7.077519549056888,0.05189437633789631,B
new,4,25,7.465635426342487,6.768096078303643,0.09343335271604314,B
old,4,25,7.465635426342487,7.074031746014953,0.052454166050723755,B
new,4,29,7.464906200766563,6.768744104192592,0.09325798313480256,B
old,4,29,7.464906200766563,7.070543942973018,0.05282882961785228,B
new,4,33,7.4615683406591415,6.767999781004619,0.09295211515723437,B
old,4,33,7.4615683406591415,7.067027036100626,0.052876457943647606,B
new,4,37,7.45823048055172,6.7630784105858766,0.09320603215180064,B
old,4,37,7.45823048055172,7.063422817736864,0.052935835630766113,B
new,4,41,7.4615683406591415,6.758157040167134,0.09427124009023942,B
old,4,41,7.4615683406591415,7.059818599373102,0.053842533224127714,B
new,4,45,7.45823048055172,6.753235669748392,0.09452574744662168,B
old,4,45,7.45823048055172,7.05621438100934,0.053902343269048504,B
new,4,49,7.457789033651352,6.74831429932965,0.09513204665892,B
old,4,49,7.457789033651352,7.052610162645578,0.05432962358917747,B
new,4,53,7.45823048055172,6.743392928910907,0.09584546274144272,B
old,4,53,7.45823048055172,7.0490059442818165,0.054868850907330895,B
new,4,57,7.457789033651352,6.738471558492165,0.09645184007129352,B
old,4,57,7.457789033651352,7.045401725918055,0.055296188437686536,B
new,4,61,7.457347586750984,6.733550188073423,0.09705828919165418,B
old,4,61,7.457347586750984,7.041797507554293,0.05572357656158794,B
new,4,65,7.457789033651352,6.729391687258612,0.097669341825846,B
old,4,65,7.457789033651352,7.040302734822035,0.05597990194486834,B
new,4,69,7.45823048055172,6.727521795255598,0.09797346531480053,B
old,4,69,7.45823048055172,7.045136298984289,0.055387693186021256,B
new,4,73,7.458453997969627,6.725651903252583,0.0982512052653983,B
old,4,73,7.458453997969627,7.0499698631465435,0.05476793648312146,B
new,4,77,7.458677515387535,6.723782011249568,0.0985289285696894,B
old,4,77,7.458677515387535,7.054803427308798,0.054148216925256475,B
new,4,81,7.460601627826691,6.721912119246554,0.09901205632330765,B
old,4,81,7.460601627826691,7.059636991471052,0.053744276448177204,B
new,4,85,7.458677515387535,6.720042227243539,0.09903032898528774,B
old,4,85,7.458677515387535,7.0644705556333065,0.052852125452664316,B
new,4,89,7.458453997969627,6.718172335240524,0.09925403614886219,B
old,4,89,7.458453997969627,7.069304119795561,0.052175675854540714,B
new,4,93,7.458677515387535,6.71630244323751,0.09953172940088609,B
old,4,93,7.458677515387535,7.074137683957815,0.051556033980072156,B
new,4,97,7.460601627826691,6.714432551234495,0.10001459852904095,B
old,4,97,7.460601627826691,7.0789712481200695,0.05115276203506284,B
new,4,101,7.458677515387535,6.71256265923148,0.10003312981648443,B
old,4,101,7.458677515387535,7.083804812282324,0.05025994250748,B
new,4,105,7.462525740265846,6.7106927672284655,0.1007477895829137,B
old,4,105,7.462525740265846,7.088638376444578,0.05010198649015965,B
new,4,109,7.462622597813606,6.708822875225451,0.1010100286739682,B
old,4,109,7.462622597813606,7.0934719406068325,0.049466612088212424,B
new,4,113,7.464906200766563,6.706952983222436,0.10153553134616666,B
old,4,113,7.464906200766563,7.098305504769087,0.049109886465797885,B
new,4,117,7.466364651918411,6.7050830912194215,0.10196147605828303,B
old,4,117,7.466364651918411,7.103139068931341,0.04864825117987543,B
new,4,121,7.467024028301239,6.703213199216407,0.10229119742883706,B
old,4,121,7.467024028301239,7.1079726330935955,0.04808493903953973,B
new,4,125,7.467024028301239,6.701343307213392,0.10254161740819262,B
old,4,125,7.467024028301239,7.11280619725585,0.04743761767778513,B
new,4,129,7.469777017831802,6.700054374960018,0.10304492905669169,B
old,4,129,7.469777017831802,7.116195687558502,0.04733492437983535,B
new,4,133,7.474198937416077,6.700508321955567,0.10351485449328753,B
old,4,133,7.474198937416077,7.115252956282347,0.048024675840086926,B
new,4,137,7.474198937416077,6.700962268951116,0.10345411928950851,B
old,4,137,7.474198937416077,7.114310225006193,0.048150807253506386,B
new,4,141,7.474198937416077,6.701416215946665,0.10339338408572948,B
old,4,141,7.474198937416077,7.113367493730038,0.048276938666925846,B
new,4,145,7.476774975657463,6.701870162942214,0.10364158547477331,B
old,4,145,7.476774975657463,7.112424762453884,0.04873093203818674,B
new,4,149,7.476774975657463,6.702324109937763,0.10358087119662172,B
old,4,149,7.476774975657463,7.111482031177729,0.0488570199944545,B
new,4,153,7.476774975657463,6.702778056933312,0.10352015691847014,B
old,4,153,7.476774975657463,7.110539299901575,0.04898310795072225,B
new,4,157,7.476774975657463,6.703232003928861,0.10345944264031855,B
old,4,157,7.476774975657463,7.10959656862542,0.04910919590699,B
new,4,161,7.476774975657463,6.7036859509244096,0.10339872836216696,B
old,4,161,7.476774975657463,7.108653837349266,0.049235283863257755,B
new,4,165,7.474198937416077,6.7041398979199585,0.10302897286305536,B
old,4,165,7.474198937416077,7.107711106073111,0.049033727147442606,B
new,4,169,7.474198937416077,6.704593844915507,0.10296823765927635,B
