side,bp,tot,kv,truth,model,ape,stratum
new,1,512,4096,36.59870009869337,32.081687822937965,0.12342001938797464,A
old,1,512,4096,36.59870009869337,32.081687822937965,0.12342001938797464,A
new,1,512,608,34.38950423151255,31.31133914777499,0.08950885313772287,B
old,1,512,608,34.38950423151255,31.31133914777499,0.08950885313772287,B
new,1,512,2144,35.325830802321434,31.143793508208514,0.11838468336427908,B
old,1,512,2144,35.325830802321434,31.143793508208514,0.11838468336427908,B
new,1,1024,0,43.48717723041773,42.02500358223915,0.033623098607463514,A
old,1,1024,0,43.48717723041773,42.02500358223915,0.033623098607463514,A
new,1,1024,256,43.61204896122217,40.458377450704575,0.07231193180860859,A
old,1,1024,256,43.61204896122217,40.458377450704575,0.07231193180860859,A
new,1,1024,1024,44.44674588739872,41.42537713050842,0.06797727699896468,A
old,1,1024,1024,44.44674588739872,41.42537713050842,0.06797727699896468,A
new,1,1024,4096,47.34777379781008,44.508256018161774,0.05997151612183373,A
old,1,1024,4096,47.34777379781008,44.508256018161774,0.05997151612183373,A
new,1,1024,608,44.4942032918334,41.3831589910999,0.06992021590606869,B
old,1,1024,608,44.4942032918334,41.3831589910999,0.06992021590606869,B
new,1,1024,2144,45.59064656496048,40.350823136811655,0.1149319832672868,B
old,1,1024,2144,45.59064656496048,40.350823136811655,0.1149319832672868,B
new,1,2048,0,61.91700976341963,60.663048177957535,0.020252295617204204,A
old,1,2048,0,61.91700976341963,60.663048177957535,0.020252295617204204,A
new,1,2048,256,62.116933055222034,65.3256755322218,0.05165648590775052,A
old,1,2048,256,62.116933055222034,65.3256755322218,0.05165648590775052,A
new,1,2048,1024,64.11013007164001,61.96625903248787,0.033440441264999336,A
old,1,2048,1024,64.11013007164001,61.96625903248787,0.033440441264999336,A
new,1,2048,4096,69.05850116163492,67.54258833825588,0.02195113994482691,A
old,1,2048,4096,69.05850116163492,67.54258833825588,0.02195113994482691,A
new,1,2048,16384,90.82345198839903,90.41429497301579,0.004504970978591582,A
old,1,2048,16384,90.82345198839903,90.41429497301579,0.004504970978591582,A
new,1,2048,65536,179.4560421258211,177.79130674898624,0.009276563536755602,A
old,1,2048,65536,179.4560421258211,177.79130674898624,0.009276563536755602,A
new,1,2048,608,62.847793102264404,61.29587876621298,0.024693219275435614,B
old,1,2048,608,62.847793102264404,61.29587876621298,0.024693219275435614,B
new,1,2048,2144,65.51172584295273,62.05571569804942,0.05275406960256539,B
old,1,2048,2144,65.51172584295273,62.05571569804942,0.05275406960256539,B
new,1,2048,8384,76.81531924754381,75.27298896266633,0.02007842055446246,B
old,1,2048,8384,76.81531924754381,75.27298896266633,0.02007842055446246,B
new,1,4096,0,109.20875146985054,110.99988035857677,0.016400964800158114,A
old,1,4096,0,109.20875146985054,110.99988035857677,0.016400964800158114,A
new,1,4096,256,109.7128102555871,108.28673467040062,0.012998259563894991,A
old,1,4096,256,109.7128102555871,108.28673467040062,0.012998259563894991,A
new,1,4096,1024,111.77119798958302,111.25216819345951,0.0046436810686405795,A
old,1,4096,1024,111.77119798958302,111.25216819345951,0.0046436810686405795,A
new,1,4096,4096,120.63367292284966,119.00076828897,0.013536059993166032,A
old,1,4096,4096,120.63367292284966,119.00076828897,0.013536059993166032,A
new,1,4096,16384,151.34919807314873,147.6410198956728,0.02450081153177783,A
old,1,4096,16384,151.34919807314873,147.6410198956728,0.02450081153177783,A
new,1,4096,65536,275.6538912653923,275.165481492877,0.0017718225208911303,A
old,1,4096,65536,275.6538912653923,275.165481492877,0.0017718225208911303,A
new,1,4096,608,111.1425468698144,109.52494080530933,0.014554336840956446,B
old,1,4096,608,111.1425468698144,109.52494080530933,0.014554336840956446,B
new,1,4096,2144,114.59052562713623,112.9760249985116,0.014089302931361153,B
old,1,4096,2144,114.59052562713623,112.9760249985116,0.014089302931361153,B
new,1,4096,8384,131.25421572476625,129.09825937895556,0.016425806469573746,B
old,1,4096,8384,131.25421572476625,129.09825937895556,0.016425806469573746,B
new,1,8192,0,199.98240936547518,198.57783615589142,0.007023483785600614,A
old,1,8192,0,199.98240936547518,198.57783615589142,0.007023483785600614,A
new,1,8192,256,201.0458279401064,200.2866491675377,0.003776147858163313,A
old,1,8192,256,201.0458279401064,200.2866491675377,0.003776147858163313,A
new,1,8192,1024,205.09221218526363,198.02628830075264,0.03445242415215753,A
old,1,8192,1024,205.09221218526363,198.02628830075264,0.03445242415215753,A
new,1,8192,4096,220.12603655457497,219.1834282130003,0.0042821301665556125,A
old,1,8192,4096,220.12603655457497,219.1834282130003,0.0042821301665556125,A
new,1,8192,16384,281.5211247652769,281.2354676425457,0.0010146916078478316,A
old,1,8192,16384,281.5211247652769,281.2354676425457,0.0010146916078478316,A
new,1,8192,65536,528.9117339998484,525.2927727997303,0.006842278148661951,A
old,1,8192,65536,528.9117339998484,525.2927727997303,0.006842278148661951,A
new,1,8192,608,203.10032926499844,200.30798668004914,0.013748587188679254,B
