grp,bp,Bd,chunk,tgt,note
A,1,8,8184,8192,悬崖左档
A,1,8,8185,8193,悬崖右缘
A,1,8,1016,1024,chunk+Bd=采集档
A,1,8,4088,4096,chunk+Bd=采集档
B,1,8,3064,3072,eager中点
B,1,8,6136,6144,eager中点
B,1,8,504,512,graph中点
A,1,64,8128,8192,悬崖左档
A,1,64,8129,8193,悬崖右缘
A,1,64,960,1024,chunk+Bd=采集档
A,1,64,4032,4096,chunk+Bd=采集档
B,1,64,3008,3072,eager中点
B,1,64,6080,6144,eager中点
B,1,64,448,512,graph中点
A,1,105,8087,8192,悬崖左档
A,1,105,8088,8193,悬崖右缘
A,1,105,919,1024,chunk+Bd=采集档
A,1,105,3991,4096,chunk+Bd=采集档
B,1,105,2967,3072,eager中点
B,1,105,6039,6144,eager中点
B,1,105,407,512,graph中点
C锚,2,40,4096,4136,2条2048t齐发+池
C锚,4,40,4096,4136,4条1024t齐发+池
C,6,40,4038,4078,6条673t齐发+池
C,8,40,4096,4136,8条512t齐发+池
