grp,C,isl,osl,kind,boots
A批,1,1,4400,浅扫段,1
A批,1,16256,512,跳扫@16384,1
A批,1,65408,512,跳扫@65536,1
A批,1,130944,256,顶端扫,1
A批,2,1,4400,浅扫段,1
A批,2,16256,512,跳扫@16384,1
A批,2,65408,512,跳扫@65536,1
A批,4,1,4400,浅扫段,1
A批,4,16256,512,跳扫@16384,1
B批,6,1,4400,浅扫段,1
B批,6,16256,512,跳扫@16384,1
A批,8,1,4400,浅扫段,1
A批,8,16256,512,跳扫@16384,1
B批,12,1,4400,浅扫段,1
B批,12,16256,512,跳扫@16384,1
A批,16,1,4400,浅扫段,1
B批,20,1,4400,浅扫段,1
A批,32,1,4400,浅扫段,1
B批,44,1,4400,浅扫段,1
A批,64,1,4400,浅扫段,1
B批,100,1,4400,浅扫段,1
A批,128,1,4255,浅扫段,1
B批,150,1,3583,浅扫段,1
A批,256,1,2127,浅扫段,1
B批,300,1,1791,浅扫段,1
A批,512,1,1055,浅扫段,1
A批,513,1,1055,浅扫段,1
B批,600,1,1055,浅扫段,1
B批,900,1,527,浅扫段,1
A批,1024,1,527,浅扫段,1
