grp,bp,n,kv,tag,exec_,regime,repeats
A,4,128,0,ISL在网主干,单步,graph,5
A,4,128,256,ISL在网主干,单步,graph,5
A,4,128,1024,ISL在网主干,单步,graph,5
A,4,128,4096,ISL在网主干,单步,graph,5
B,4,128,608,ISL在网主干,单步,graph,5
B,4,128,2144,ISL在网主干,单步,graph,5
A,4,256,0,ISL在网主干,单步,graph,5
A,4,256,256,ISL在网主干,单步,graph,5
A,4,256,1024,ISL在网主干,单步,graph,5
A,4,256,4096,ISL在网主干,单步,graph,5
B,4,256,608,ISL在网主干,单步,graph,5
B,4,256,2144,ISL在网主干,单步,graph,5
A,4,512,0,ISL在网主干,单步,graph,5
A,4,512,256,ISL在网主干,单步,graph,5
A,4,512,1024,ISL在网主干,单步,graph,5
A,4,512,4096,ISL在网主干,单步,graph,5
B,4,512,608,ISL在网主干,单步,graph,5
B,4,512,2144,ISL在网主干,单步,graph,5
A,4,1024,0,ISL在网主干,单步,graph,5
A,4,1024,256,ISL在网主干,单步,graph,5
A,4,1024,1024,ISL在网主干,单步,graph,5
A,4,1024,4096,ISL在网主干,单步,graph,5
B,4,1024,608,ISL在网主干,单步,graph,5
B,4,1024,2144,ISL在网主干,单步,graph,5
A,4,2048,0,ISL在网主干,单步,graph,5
A,4,2048,256,ISL在网主干,单步,graph,5
A,4,2048,1024,ISL在网主干,单步,graph,5
A,4,2048,4096,ISL在网主干,单步,graph,5
A,4,2048,16384,ISL在网主干,单步,graph,5
A,4,2048,65536,ISL在网主干,单步,graph,5
B,4,2048,608,ISL在网主干,单步,graph,5
B,4,2048,2144,ISL在网主干,单步,graph,5
B,4,2048,8384,ISL在网主干,单步,graph,5
A,4,4096,0,ISL在网主干,单步,graph,5
A,4,4096,256,ISL在网主干,单步,graph,5
A,4,4096,1024,ISL在网主干,单步,graph,5
A,4,4096,4096,ISL在网主干,单步,graph,5
A,4,4096,16384,ISL在网主干,单步,graph,5
A,4,4096,65536,ISL在网主干,单步,graph,5
B,4,4096,608,ISL在网主干,单步,graph,5
B,4,4096,2144,ISL在网主干,单步,graph,5
B,4,4096,8384,ISL在网主干,单步,graph,5
A,4,8192,0,ISL在网主干,单步,graph,5
A,4,8192,256,ISL在网主干,单步,graph,5
A,4,8192,1024,ISL在网主干,单步,graph,5
A,4,8192,4096,ISL在网主干,单步,graph,5
A,4,8192,16384,ISL在网主干,单步,graph,5
A,4,8192,65536,ISL在网主干,单步,graph,5
B,4,8192,608,ISL在网主干,单步,graph,5
B,4,8192,2144,ISL在网主干,单步,graph,5
B,4,8192,8384,ISL在网主干,单步,graph,5
长请求,4,16384,0,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,256,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,1024,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,4096,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,16384,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,65536,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,608,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,2144,ISL在网主干,chunked~2步,graph,5
长请求,4,16384,8384,ISL在网主干,chunked~2步,graph,5
长请求,4,32768,0,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,256,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,1024,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,4096,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,16384,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,65536,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,608,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,2144,ISL在网主干,chunked~4步,graph,5
长请求,4,32768,8384,ISL在网主干,chunked~4步,graph,5
长请求,4,65536,0,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,256,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,1024,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,4096,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,16384,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,65536,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,608,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,2144,ISL在网主干,chunked~8步,graph,5
长请求,4,65536,8384,ISL在网主干,chunked~8步,graph,5
长请求,4,131072,0,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,256,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,1024,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,4096,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,16384,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,65536,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,608,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,2144,ISL在网主干,chunked~16步,graph,5
长请求,4,131072,8384,ISL在网主干,chunked~16步,graph,5
B,4,181,0,ISL离网,单步,graph,5
B,4,181,256,ISL离网,单步,graph,5
B,4,181,4096,ISL离网,单步,graph,5
B,4,181,2144,ISL离网,单步,graph,5
B,4,362,0,ISL离网,单步,graph,5
B,4,362,256,ISL离网,单步,graph,5
B,4,362,4096,ISL离网,单步,graph,5
B,4,362,2144,ISL离网,单步,graph,5
B,4,724,0,ISL离网,单步,graph,5
B,4,724,256,ISL离网,单步,graph,5
B,4,724,4096,ISL离网,单步,graph,5
B,4,724,2144,ISL离网,单步,graph,5
B,4,1448,0,ISL离网,单步,graph,5
B,4,1448,256,ISL离网,单步,graph,5
B,4,1448,4096,ISL离网,单步,graph,5
B,4,1448,2144,ISL离网,单步,graph,5
B,4,2896,0,ISL离网,单步,graph,5
B,4,2896,256,ISL离网,单步,graph,5
B,4,2896,4096,ISL离网,单步,graph,5
B,4,2896,2144,ISL离网,单步,graph,5
B,4,5792,0,ISL离网,单步,graph,5
B,4,5792,256,ISL离网,单步,graph,5
B,4,5792,4096,ISL离网,单步,graph,5
B,4,5792,2144,ISL离网,单步,graph,5
长请求,4,11585,0,ISL离网,chunked~2步,graph,5
长请求,4,11585,256,ISL离网,chunked~2步,graph,5
长请求,4,11585,4096,ISL离网,chunked~2步,graph,5
长请求,4,11585,2144,ISL离网,chunked~2步,graph,5
长请求,4,23170,0,ISL离网,chunked~3步,graph,5
长请求,4,23170,256,ISL离网,chunked~3步,graph,5
长请求,4,23170,4096,ISL离网,chunked~3步,graph,5
长请求,4,23170,2144,ISL离网,chunked~3步,graph,5
长请求,4,46340,0,ISL离网,chunked~6步,graph,5
长请求,4,46340,256,ISL离网,chunked~6步,graph,5
长请求,4,46340,4096,ISL离网,chunked~6步,graph,5
长请求,4,46340,2144,ISL离网,chunked~6步,graph,5
长请求,4,92681,0,ISL离网,chunked~12步,graph,5
长请求,4,92681,256,ISL离网,chunked~12步,graph,5
长请求,4,92681,4096,ISL离网,chunked~12步,graph,5
长请求,4,92681,2144,ISL离网,chunked~12步,graph,5
长请求,4,163840,0,ISL离网,chunked~20步,graph,5
长请求,4,163840,256,ISL离网,chunked~20步,graph,5
长请求,4,163840,4096,ISL离网,chunked~20步,graph,5
长请求,4,163840,2144,ISL离网,chunked~20步,graph,5
A,8,1024,0,bs变体,单步,graph,5
A,8,1024,1024,bs变体,单步,graph,5
B,8,1024,608,bs变体,单步,graph,5
A,8,4096,0,bs变体,单步,graph,5
A,8,4096,1024,bs变体,单步,graph,5
B,8,4096,608,bs变体,单步,graph,5
A,16,512,0,bs变体,单步,graph,5
A,16,512,1024,bs变体,单步,graph,5
B,16,512,608,bs变体,单步,graph,5
A,16,2048,0,bs变体,单步,graph,5
A,16,2048,1024,bs变体,单步,graph,5
B,16,2048,608,bs变体,单步,graph,5
C,24,673,0,外插1.5x,单步,graph,5
C,24,1217,0,外插1.5x,单步,graph,5
C,32,512,0,外插2.0x,单步,graph,5
C,32,928,0,外插2.0x,单步,graph,5
C,48,337,0,外插3.0x,单步,graph,5
C,48,609,0,外插3.0x,单步,graph,5
C,64,256,0,外插4.0x,单步,graph,5
C,64,464,0,外插4.0x,单步,graph,5
C,96,169,0,外插6.0x,单步,graph,5
C,96,305,0,外插6.0x,单步,graph,5
C,128,128,0,外插8.0x,单步,graph,5
C,128,232,0,外插8.0x,单步,graph,5
C,192,88,0,外插12.0x,单步,graph,5
C,192,153,0,外插12.0x,单步,graph,5
C,256,64,0,外插16.0x,单步,graph,5
C,256,113,0,外插16.0x,单步,graph,5
Cpfx,32,1024,192,外插2.0x+pfx,单步,graph,5
Cpfx,32,1024,3072,外插2.0x+pfx,单步,graph,5
Cpfx,32,1024,98304,外插2.0x+pfx,单步,graph,5
